pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
22,608324,"Bregman, Alex",886,2.5,0.409,0.227,0.381,0.636,0.451,0.341,0.315,9,22,90.7,7.1,2399,84.7,84.5,0,22,0,-0.2,6.25,105,150,122,146,287,322,296,-2.83,2.83,72.3,7.4,22,22,6,2,0,1,0,0,0,0,3.16864,0.06091,-0.24455,-0.48818,94.5,137,45.45454545,9.090909091,9.090909091,5.78,-0.31,0.54,2.29,0.409,2,12.86363636,0.315,0.481,-12.86363636,0.094,0.094,0.155,0.11,0,39.8,16.91832796,-7.914552582,25.85394136,0.909090909,38.19338675,36.22867952
11,678882,"Rafaela, Ceddanne",1078,1,0.364,0,0.364,0.364,0.323,0.281,0.302,4,11,86.1,-1.3,2300,85.4,85.32,0,11,0,-0.1,6.37,110,152,114,148,289,317,292,-0.713,0.713,72.8,7.9,11,11,4,0,0,0,0,0,0,0,2.91727,0.26636,-0.03091,-0.68545,91.4,87,36.36363636,0,0,5.95,-0.7,0.57,2.37,0.364,0,6.481818182,0.302,0.349,-6.481818182,0.062,0.062,0.015,0.042,0,42.5,17.38843009,-9.736930874,28.61119992,0.727272727,40.71715318,40.96561501
10,665966,"Narváez, Carlos",1026,1,0.5,0,0.5,0.5,0.444,0.304,0.328,5,10,83.9,-0.2,2161,86.4,86.29,0,10,0,-0.1,6.3,105,152,125,147,298,326,292,-1.044,1.044,73.9,8,10,10,5,0,0,0,0,0,0,0,2.75,0.33,0.121,-0.561,91.7,108,20,0,0,5.81,-0.35,0.53,2.35,0.5,0,10.44,0.328,0.377,-10.44,0.172,0.172,0.123,0.14,0,39.6,12.04713802,-5.262202296,28.14512443,0.9,43.46366846,36.40485145
9,596115,"Story, Trevor",1295,0.7,0.222,0.667,0,0.889,0.459,0.35,0.245,2,9,87.4,10.7,2176,81.5,81.4,0,9,0,-0.1,6.31,102,148,120,141,296,325,298,-0.944,0.944,72.3,7.8,9,9,0,0,0,2,0,0,0,0,3.19111,0.26778,-0.10667,-0.87111,91.4,155,22.22222222,22.22222222,22.22222222,5.82,-0.78,0.6,2.38,0.222,2,10.48888889,0.245,0.596,-10.48888889,-0.023,-0.023,0.293,0.109,0,37.6,14.88974389,-12.19886864,27.25798386,0.888888889,44.02108021,42.82860301
7,692225,"Campbell, Kristian",1070,0.7,0.143,0,0.143,0.143,0.127,0.382,0.405,1,7,84.3,-13.1,2097,87.6,87.89,0,7,0,0.3,6.49,109,151,123,149,284,322,299,1.145,-1.145,74.6,7.2,7,7,1,0,0,0,0,0,0,0,2.64143,0.33143,0.25143,-0.66286,93.9,77,42.85714286,0,0,5.88,0.03,0.42,2.74,0.143,0,-16.35714286,0.405,0.468,16.35714286,-0.262,-0.262,-0.325,-0.255,0,37,18.26643909,-2.0722395,26.69972867,0.571428571,42.93794188,36.39200841
6,608701,"Refsnyder, Rob",449,1.3,0.333,0.5,0.2,0.833,0.492,0.684,0.594,2,6,102.6,6.2,2204,86.1,85.43,0,6,0,-0.7,6,108,154,122,147,291,320,302,-2.036,2.036,73.4,7.8,6,6,1,0,0,1,0,0,0,0,2.385,0.74167,0.07333,-0.18667,102.5,144,100,16.66666667,16.66666667,5.87,0.44,0.41,2.68,0.333,1,33.93333333,0.594,1.005,-33.93333333,-0.261,-0.261,-0.172,-0.192,0,42.4,13.88777312,-3.699202066,30.1101248,1,41.36926496,31.05794684
6,657136,"Wong, Connor",343,1.7,0.167,0,0.167,0.167,0.148,0.341,0.307,1,6,84.2,-5.3,2218,88.5,88.95,0,6,0,0.5,6.67,117,153,115,148,299,321,291,-0.131,0.131,73.9,7.8,6,6,1,0,0,0,0,0,0,0,2.345,0.605,-0.15833,-0.15833,91.4,101,33.33333333,16.66666667,16.66666667,6.11,-1.44,0.52,2.35,0.167,1,2.183333333,0.307,0.478,-2.183333333,-0.14,-0.14,-0.311,-0.193,0,49.3,16.02325253,-10.60921306,27.76545532,0.5,42.23525879,38.57363359
2,647351,"Toro, Abraham",587,0.3,0,0,0,0,0,0.35,0.109,0,1,89,5,1710,73.3,71.35,0,2,0,-2,4.75,101,154,119,148,297,328,303,0.469,-0.469,71.9,7.8,2,2,0,0,0,0,0,0,0,0,3.895,1.045,0.655,-0.295,93.4,152,50,0,0,6.52,-0.12,0.38,2.16,0,0,-23.45,0.341,0.122,23.45,-0.109,-0.341,-0.122,-0.35,0,51.9,13.89807787,-4.468139725,32.127639,1,41.04191871,44.10971737
2,663853,"Gonzalez, Romy",427,0.5,0,0,0,0,0,0.306,0.332,0,2,101.8,-11,2129,85.6,86.5,0,2,0,0.9,6.7,116,154,123,148,282,316,290,-0.216,0.216,78.7,7.4,2,2,0,0,0,0,0,0,0,0,2.57,0.54,0.22,0.22,101.8,46,100,0,0,5.79,-1.59,0.35,2.38,0,0,10.8,0.332,0.372,-10.8,-0.332,-0.332,-0.372,-0.306,0,46.3,10.32573599,-6.449230217,28.26657548,1,38.1212437,35.18882301
